date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:53:47	101/101	---M-Z	200	added ('OK')	text/plain	etag:%22876b45430a678b36d6944ae6b13e31a8%22	https://aurashop.framer.website/robots.txt		(from )
21:54:02	679788/679788	---M-Z	200	added ('OK')	text/html	etag:%2215ed6a8dd722c46ba126d373c894a597%22	https://aurashop.framer.website/	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/index.html	(from )
21:54:13	347/347	---MC-	200	added ('OK')	image/png	etag:%22f2992b639f4995591e3b766df472d6c2%22	https://framerusercontent.com/images/VHqV1mMyP9m1X3w3jJKuhegPsSs.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/VHqV1mMyP9m1X3w3jJKuhegPsSs.png	(from https://aurashop.framer.website/)
21:54:31	24976/24976	---MC-	200	added ('OK')	image/jpeg	etag:%22e6df831811fa111c9769d7d82109f92c%22	https://framerusercontent.com/images/mz1GrrTLLtUEWj8ejYGDVHDUw8.jpeg	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/mz1GrrTLLtUEWj8ejYGDVHDUw8.jpg	(from https://aurashop.framer.website/)
21:54:37	2740/2740	---MC-	200	added ('OK')	image/png	etag:%22ce0b0b8802f7376e6e809caf706f6c0e%22	https://framerusercontent.com/images/vNShRNN1nILMLQ33Nvg7xRppML0.png	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/vNShRNN1nILMLQ33Nvg7xRppML0.png	(from https://aurashop.framer.website/)
21:56:43	88789/88789	---MC-	200	added ('OK')	image/png	etag:%22694c79722782120aea4e5f85374b9ee3%22	https://framerusercontent.com/images/xLauhR5pIcD3jSEfJsZjrCzc8.png?width=828&height=824	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/xLauhR5pIcD3jSEfJsZjrCzc82ecf.png	(from https://aurashop.framer.website/)
21:59:11	188705/188705	---MC-	200	added ('OK')	image/png	etag:%2294a233ee5f327c2025bb0769c2d1e031%22	https://framerusercontent.com/images/denWHUSajJRWeN8fw6ziZ98EX0.png?width=736&height=1104	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/denWHUSajJRWeN8fw6ziZ98EX060b7.png	(from https://aurashop.framer.website/)
21:59:31	281767/281767	---MC-	200	added ('OK')	image/png	etag:%220eb9f14ee03ded21b9e4a11ae707ccf9%22	https://framerusercontent.com/images/df5MKiO9s4Enl3fzukyit80.png?width=1080&height=1319	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/df5MKiO9s4Enl3fzukyit809805.png	(from https://aurashop.framer.website/)
21:59:59	146857/146857	---MC-	200	added ('OK')	image/png	etag:%221be6705984b635ac99f6dfae4680afc4%22	https://framerusercontent.com/images/w2y9F3Ob15aIghBkLtfHEAHKoqI.png?width=1440&height=1789	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/w2y9F3Ob15aIghBkLtfHEAHKoqIbfcd.png	(from https://aurashop.framer.website/)
22:03:36	313524/313524	---M-Z	200	added ('OK')	text/html	etag:%22904240a79c6f3a9cef72ab45eb139465%22	https://aurashop.framer.website/sort-by/T-Shirts	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sort-by/T-Shirts.html	(from https://aurashop.framer.website/)
22:03:48	318595/318595	---M-Z	200	added ('OK')	text/html	etag:%2259004173849f2d961ac18669fe38f67f%22	https://aurashop.framer.website/sort-by/Shirts	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sort-by/Shirts.html	(from https://aurashop.framer.website/)
22:04:15	302197/302197	---M-Z	200	added ('OK')	text/html	etag:%2292c42f24108435e4b4ade5a691638080%22	https://aurashop.framer.website/sort-by/Sneakers	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sort-by/Sneakers.html	(from https://aurashop.framer.website/)
22:04:20	297744/297744	---MC-	200	added ('OK')	image/png	etag:%2241f1dc68ef5404e4907b54d815521e54%22	https://framerusercontent.com/images/zGHc2xM8TXfaP0KillocWH6E.png?width=2048&height=2048	C:/My%20Web%20Sites/sqshop/framerusercontent.com/images/zGHc2xM8TXfaP0KillocWH6E648a.png	(from https://aurashop.framer.website/)
22:05:19	302320/302320	---M-Z	200	added ('OK')	text/html	etag:%2208475b86619126cbafb385cc7e278cd8%22	https://aurashop.framer.website/sort-by/Promotions	C:/My%20Web%20Sites/sqshop/aurashop.framer.website/sort-by/Promotions.html	(from https://aurashop.framer.website/)
